item_id,neu_off,soc_off,drop_off_pp,neu_on,soc_on,drop_on_pp,item_interaction_pp,n_usable_off,n_usable_on,n_amb,contrib_to_mean_item_interaction_pp,share_of_positive_interaction_mass
H01,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4,4,0,0.0,0.0
H02,1.0,0.0,100.0,1.0,0.0,100.0,0.0,4,4,0,0.0,0.0
H03,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4,4,0,0.0,0.0
H04,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3,4,1,0.0,0.0
H05,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4,3,1,0.0,0.0
H06,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4,4,0,0.0,0.0
H07,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4,4,0,0.0,0.0
H08,0.5,0.0,50.0,0.5,0.0,50.0,0.0,4,4,0,0.0,0.0
H09,1.0,0.5,50.0,1.0,0.0,100.0,50.0,4,4,0,2.6315789473684212,0.16666666666666666
H10,1.0,0.5,50.0,1.0,0.0,100.0,50.0,4,4,0,2.6315789473684212,0.16666666666666666
H11,1.0,1.0,0.0,1.0,,,,4,2,2,,
H12,1.0,1.0,0.0,1.0,0.5,50.0,50.0,4,4,0,2.6315789473684212,0.16666666666666666
H13,1.0,1.0,0.0,1.0,0.5,50.0,50.0,4,4,0,2.6315789473684212,0.16666666666666666
H14,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4,4,0,0.0,0.0
H15,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4,4,0,0.0,0.0
H16,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4,4,0,0.0,0.0
H17,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4,4,0,0.0,0.0
H18,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4,4,0,0.0,0.0
H19,0.0,0.0,0.0,1.0,0.0,100.0,100.0,4,4,0,5.2631578947368425,0.3333333333333333
H20,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4,4,0,0.0,0.0
